plot;cov;tcov1;tcov2;scov;hcov;mcov;htl1;htl2;hsl;hhl1;hhl2;plsx;plsy;expo;slope;rock;bare;stones;date;longitude;latitude;accuracy;elevation;description;location;comment;observer
bs01;25;0;0;5;25;0;0;0;1;0,7;0,3;8;8;SW;90;75;0;0;2009-06-08;13.075533E;47.690582N;10;815;Rasenband unter Felsdach;Großer Barmstein SW-Flanke;;R. Kaiser & T. Eberl
bs02;30;0;0;20;25;1;0;0;1,5;0,3;0,1;8;8;SE;80;70;0;0;2012-10-20;13.075866E;47.690661N;10;830;Felsflur, Felstrockengebüsch;Großer Barmstein SE-Flanke;;R. Kaiser
bs03;70;0;0;45;65;2;0;0;2;0,35;0,1;8;8;SE;80;30;0;0;2012-10-20;13.075938E;47.690591N;10;820;Felsflur, Felstrockengebüsch;Großer Barmstein SE-Flanke;;R. Kaiser
bs04;80;0;0;50;60;1;0;0;2;0,4;0,2;8;8;SE;75;20;0;0;2012-10-20;13.076013E;47.690526N;10;810;Felsflur, Felstrockengebüsch;Großer Barmstein SE-Flanke;;R. Kaiser
bs05;70;0;0;30;65;1;0;0;1,5;0,35;0,25;6;13;SE;85;30;0;0;2012-10-20;13.076064E;47.690454N;10;800;Felsflur, Felstrockengebüsch;Großer Barmstein SE-Flanke;;R. Kaiser
bs06;20;0;0;10;20;1;0;0;2,2;0,25;0,15;8;8;SE;85;80;0;0;2012-10-20;13.076115E;47.690381N;10;790;Felsflur, Felstrockengebüsch;Großer Barmstein SE-Flanke;;R. Kaiser
bsx01;;;;;;;;;;;;;;;;;;;2016-03-26;13.068069;47.684244;10;;;Rapplotstein;;R. Kaiser
bsx02;;;;;;;;;;;;;;;;;;;2016-03-26;13.068417;47.684135;10;;;Rapplotstein;;R. Kaiser
bsx03;;;;;;;;;;;;;;;;;;;2016-03-26;13.068895;47.684255;10;;;Rapplotstein;;R. Kaiser
bsx04;;;;;;;;;;;;;;;;;;;2016-03-26;13.070865;47.684069;20;;;Rapplotstein;;R. Kaiser
bsx05;;;;;;;;;;;;;;;;;;;2016-03-26;13.071165;47.684087;20;;;Rapplotstein;;R. Kaiser
bsx06;;;;;;;;;;;;;;;;;;;2016-03-26;13.07029;47.683893;20;;;Rapplotstein;;R. Kaiser
bsx07;;;;;;;;;;;;;;;;;;;2016-03-26;13.069834;47.683711;10;;;Rapplotstein;;R. Kaiser
bsx08;;;;;;;;;;;;;;;;;;;2016-03-26;13.068727;47.683987;10;;;Rapplotstein;;R. Kaiser
