plot,cov,t1cov,t2cov,scov,hcov,mcov,htl1,htl2,hsl,hhl1,hhl2,plsx,plsy,expo,slope,rock,bare,stones,date,latitude,longitude,accuracy,location,alliance.code,alliance,association,comment,observer
im01,97,0,0,0,97,1,0,0,0,"1,5","0,2","6,5","2,5",S,35,0,1,0,2012-06-18,48.074041,12.946916,10,Ibmer Moos,FES-01A,Bromion erecti Koch 1926,,,R. Kaiser
im02,96,0,0,0,95,1,0,0,0,"1,3","0,15",4,4,S,20,0,2,0,2012-06-18,48.073848,12.946753,10,"Ibmer Moos, Heratingersee",FES-01A,Bromion erecti Koch 1926,,,R. Kaiser
im03,97,0,0,0,97,1,0,0,0,"1,3","0,2",4,4,SE,5,0,2,0,2012-06-18,48.070228,12.946161,10,"Ibmer Moos, Heratingersee",FES-01A,Bromion erecti Koch 1926,,,R. Kaiser
im04,93,0,0,0,93,1,0,0,0,"1,2","0,2",4,4,S,40,0,0,0,2012-06-18,48.067391,12.943536,10,"Ibmer Moos, Heratingersee",FES-01A,Bromion erecti Koch 1926,,,R. Kaiser
im05,98,0,0,0,98,1,0,0,0,"1,2","0,3",4,4,S,5,0,0,0,2012-06-18,48.075685,12.951332,10,"Ibmer Moos, Heratingersee",MOL-05A,Molinion caeruleae Koch 1926,,,R. Kaiser
im06,95,0,0,0,85,40,0,0,0,1,"0,1",16,1,S,40,0,3,0,2012-06-18,48.065598,12.922132,10,"Geretsberg, Pimbach",FES-01A,Bromion erecti Koch 1926,,,R. Kaiser
im07,99,0,0,15,98,0,0,0,"1,5","0,9","0,4",16,1,SW,15,0,0,0,2012-07-09,48.044585,12.971326,10,"Ibmer Moos,  Weichsee",GER-01B,Trifolion medii T. Müller 1962,,,R. Kaiser
im08,98,0,0,0,98,1,0,0,0,1,"0,35",4,4,S,10,0,0,0,2012-04-25,48.090166,13.000049,10,Gundertshausen,FES-01A,Bromion erecti Koch 1926,,,R. Kaiser
im09,98,0,0,0,98,1,0,0,0,"0,7","0,25",2,8,W,10,0,0,0,2012-04-25,48.090270,12.999763,10,Gundertshausen,FES-01A,Bromion erecti Koch 1926,,,R. Kaiser
im10,99,0,0,0,99,2,0,0,0,"0,8","0,25",8,2,SE,30,0,0,0,2014-05-05,48.071684,12.983315,10,"Eggelsberg, Hehenberg",FES-01A,Bromion erecti Koch 1926,,plot center close to plants of S. pratensis,R. Kaiser
im11,100,0,0,0,100,25,0,0,0,"0,8","0,3",8,2,E,35,0,0,0,2014-05-05,48.074285,12.983055,10,"Eggelsberg, Hehenberg",FES-01A,Bromion erecti Koch 1926,,,R. Kaiser
im12,85,0,0,0,85,1,0,0,0,"0,8","0,25",4,4,S,40,0,15,0,2014-05-05,48.064887,12.962040,10,"Ibmer Moos, Ibm",FES-01A,Bromion erecti Koch 1926,,,R. Kaiser
im13,100,85,15,2,80,1,27,20,4,"0,4","0,2",16,16,SW,10,0,0,0,2014-05-05,48.064981,12.958666,10,"Ibmer Moos, Ibm",FAG-02B,Fagion sylvaticae Luquet 1926,Carici albae-Fagetum,"Cephalanthero-Fagenion, plot center at C. alba patch",R. Kaiser
im14,99,0,0,0,60,80,0,0,0,"0,4","0,1",4,4,SW,15,0,1,0,2014-05-05,48.064288,12.962811,10,"Ibmer Moos, Ibm",FES-01A,Bromion erecti Koch 1926,,,R. Kaiser
im15,100,99,0,35,45,5,25,0,3,"0,5","0,2",16,16,W,30,0,0,0,2014-05-05,48.070401,12.946133,10,"Ibmer Moos, Heratingersee",FAG-02B,Fagion sylvaticae Luquet 1926,Carici albae-Fagetum,Cephalanthero-Fagenion,R. Kaiser
im16,99,0,0,0,97,2,0,0,0,"0,7","0,2",8,2,S,7,0,0,0,2014-05-05,48.067296,12.943992,10,"Ibmer Moos, Heratingersee",FES-01A,Bromion erecti Koch 1926,,,R. Kaiser
